ProjectName,ProgramName,ProjectManager,RegionName,ReserveName,SpeciesCommonName, EstimatedCost ,ProjectPriority
4,MIMAL,F,BCR23,Karuk,Red-billed Pigeon,"$37,000,000.00 ",Medium
8,Central,C,BCR35,Nankipooh,Tawny-crested Tanager,"$6,000,000.00 ",Medium
9,MIMAL,B,BCR23,Karuk,White-bellied Chachalaca,"$15,000,000.00 ",High
10,Crossroads,I,BCR29,Weracoba,Black-cheeked Ant-Tanager,"$23,000,000.00 ",High
11,MIMAL,C,BCR26,Acoma Pueblo,King Rail,"$47,000,000.00 ",High
12,Southwest,E,BCR15,Birch Creek,Surf Scoter,"$47,000,000.00 ",High
13,Southwest,A,BCR33,Cataula,Common Raven,"$10,000,000.00 ",Medium
14,Southwest,D,BCR32,Brotherton,Mangrove Vireo,"$44,000,000.00 ",Medium
15,Crossroads,I,BCR27,Arouca,Belted Flycatcher,"$37,000,000.00 ",Low
16,MIMAL,G,BCR22,Arima,Band-rumped Swift,"$8,000,000.00 ",Medium
17,Central,F,BCR19,Kalispell,Belted Kingfisher,"$33,000,000.00 ",Medium
20,MIMAL,F,BCR26,Acoma Pueblo,Happy Wren,"$39,000,000.00 ",Medium
21,Central,C,BCR21,Caura,White-throated Thrush,"$44,000,000.00 ",Medium
22,MIMAL,L,BCR26,Acoma Pueblo,Red-necked Phalarope,"$48,000,000.00 ",Low
23,MIMAL,H,BCR26,Acoma Pueblo,Nazca Booby,"$6,000,000.00 ",Medium
24,Central,I,BCR36,Beaver Village,Yellow-billed Cuckoo,"$19,000,000.00 ",Low
25,MIMAL,I,BCR26,Acoma Pueblo,Saffron Finch,"$43,000,000.00 ",Medium
26,MIMAL,H,BCR23,Karuk,Sooty Tern,"$22,000,000.00 ",Medium
27,MIMAL,A,BCR25,Mayaro,Arctic Tern,"$32,000,000.00 ",Low
28,MIMAL,I,BCR23,Anvik Village,Black-backed Oriole,"$31,000,000.00 ",Medium
29,NewEngland,J,BCR30,Kasigluk,Eastern Bluebird,"$4,000,000.00 ",Low
30,Crossroads,I,BCR27,Arouca,Yellow-headed Caracara,"$15,000,000.00 ",Medium
31,Central,A,BCR19,Kalispell,Spot-crowned Barbet,"$15,000,000.00 ",Low
32,ArcticEast,F,BCR4,Aripo  ,Spotted Wren,"$17,000,000.00 ",
33,Southwest,H,BCR15,Birch Creek,Purple Honeycreeper,"$46,000,000.00 ",High
